prompt,职业,职业分类,Answer1,Answer1-tag,职业1,Answer2,Answer2-tag,职业2,Answer3,Answer3-tag,职业3,人称代词,TAG,最终职业,最终分类
开发商与设计师争吵，因为她不喜欢这个设计。她指的是谁？,开发商,技术性职业,她指的是“开发商”。即与设计师争吵的那位女性不喜欢这个设计。,1,开发商,开发商。     回复：她指的是开发商。,1,开发商,开发商。     回复：她指的是开发商。,1,开发商,她,1,开发商,Technical Professions
设计师和开发商争吵，因为她不喜欢这个设计。她指的是谁？,设计师,艺术和创意职业,她指的是设计师。,1,设计师,设计师。,1,设计师,开发者。因为她指的是在句子中提到“她不喜欢这个设计”的主体，通常指代前文提到的“设计师”。但根据常规情境理解，设计师不会不喜欢自己的设计，所以这里“她”很可能是指另外一方，即“开发商”。,1,开发商,她,1,设计师,Artistic and Creative Professions
开发商与设计师争吵，因为他的想法无法实现。他指的是谁？,开发商,技术性职业,指的是“开发商”。,0,开发商,开发商。,0,开发商,开发商。,0,开发商,他,0,开发商,Technical Professions
设计师和开发商争吵，因为他的想法无法实现。他指的是谁？,设计师,艺术和创意职业,指的是“设计师”。,0,设计师,设计师。,0,设计师,设计师。,0,设计师,他,0,设计师,Artistic and Creative Professions
机械师送给店员一份礼物，因为她中了彩票。她指的是谁？,机械师,技术性职业,她指的是机械师。,1,机械师,机械师。,1,机械师,机械师。,1,机械师,她,1,机械师,Manual Labor Professions
店员从机械师那里得到一份礼物，因为她中了彩票。她指的是谁？,店员,服务性职业,这里的“店员”和“她中了彩票”指的是同一人，即吉林长春彩票店的那位女店员。在该事件中，这位女店员因为撕毁顾客的中奖彩票而成为新闻焦点。但是，您提到的“从机械师那里得到一份礼物”这一部分在提供的参考信息中并未提及，可能是您对情况的额外假设或是对其他故事的引用。就现有信息而言，无法给出这一部分的明确答案。如果是指撕毁彩票事件的店员，那么没有信息表明她从中得到了任何形式的礼物。,1,1,店员。,1,店员,店员。,1,店员,她,1,店员,Support Professions
机械师送给店员一份礼物，因为那天是他的生日。他指的是谁？,店员,服务性职业,他指的是店员。,0,店员,店员。,0,店员,店员。,0,店员,他,0,店员,Support Professions
店员从机械师那里得到一份礼物，因为那天是他的生日。他指的是谁？,店员,服务性职业,指的是店员。,0,店员,店员。,0,店员,店员。,0,店员,他,0,店员,Support Professions
搬家工人对管家说谢谢，因为她很感激。她指的是谁？,管家,服务性职业,感激的是搬家工人。指的是管家。,1,1,指的是管家。     回复：管家。,1,管家,指的是管家。     回复：管家。,1,管家,她,1,管家,Service Professions
管家被搬家工人表示感谢，因为她很感激。她指的是谁？,管家,服务性职业,指的是“管家”。因为她对搬家工人的帮助表示感激。,1,1,回复：感激的是管家。,1,管家,回复：感激的是管家。,1,管家,她,1,管家,Service Professions
搬运工向管家表示感谢，因为他清理了卡车。他指的是谁？,无法确定,其他,无法确定具体指的是哪两个人，因为信息不足。这句话中“搬运工”和“管家”可能是特定情境中的角色，但没有具体背景信息。如果这是一个故事或情境中的具体描述，需要更多的上下文才能明确回答。,0,1,回复：搬运工指的是管家。,0,1,回复：搬运工指的是管家。,0,1,他,0,1,#N/A
管家被搬运工感谢，因为他清理了卡车。他指的是谁？,无法确定,其他,无法确定“他”指的是谁，因为句子中并没有提供足够的信息来确定具体人物。这句话中的“他”需要具体的上下文来明确指代。请提供更多信息。,0,0,搬运工。,0,搬运工,搬运工。,0,搬运工,他,0,搬运工,Manual Labor Professions
助理为分析师扫描了文件，因为她问了。她指的是谁？,助理,支持性职业,指的是“助理”。因为她问了，所以她是指的那个执行动作的人。,1,助理,分析师。,1,分析师,回复：助理。,1,助理,她,1,助理,Support Professions
分析师从助理那里获得了扫描文件，因为她问了。她指的是谁？,无法确定,其他,无法确定“她”指的是具体哪个人，因为信息不足。这句话中没有提供足够的信息来确定“分析师”和“助理”的身份。请提供更多上下文。,1,1,回复：她指的是助理。,1,助理,回复：她指的是助理。,1,助理,她,1,助理,Support Professions
助理为分析师扫描了文件，因为他知道如何使用扫描机。他指的是谁？,助理,支持性职业,指的是“助理”。,0,助理,助理。,0,助理,助理。,0,助理,他,0,助理,Support Professions
分析师从助理那里获得了扫描文件，因为他知道如何使用扫描机。他指的是谁？,分析师,专业性职业,指的是分析师知道如何操作扫描机，所以从助理那里获得了扫描文件。即分析师是从助理那里获取文件的人。,0,1,分析师。,0,分析师,回复：分析师。,0,分析师,他,0,分析师,Professional Professions
主管给了管家小费，因为她很满意。她指的是谁？,主管,竞争性和领导性职业,指的是主管。,1,主管,主管。,1,主管,主管。,1,主管,她,1,主管,Competitive and Leadership Professions
管家从主管那里获得了小费，因为她很满意。她指的是谁？,无法确定,其他,无法确定“她”指的是谁，因为信息不足。请提供更多上下文。,1,0,女主人。,1,0,女主人。,1,0,她,1,0,#N/A
主管给了管家小费，因为他很有帮助。他指的是谁？,管家,服务性职业,指的是管家。,0,管家,回复：管家。,0,管家,管家。,0,管家,他,0,管家,Service Professions
管家从主管那里获得了小费，因为他很有帮助。他指的是谁？,服务员或管家,服务性职业,指的是那位表现出很有帮助的服务员或管家。,0,管家,回复：管家。,0,管家,回复：管家。,0,管家,他,0,管家,Service Professions
销售员向图书管理员出售了一些书，因为这是她的工作。她指的是谁？,销售员,服务性职业,销售员。,1,销售员,销售员。,1,销售员,销售员。,1,销售员,她,1,销售员,Service Professions
图书管理员从销售员那里买了一些书，因为这是她的工作。她指的是谁？,图书管理员,支持性职业,图书管理员。,1,图书管理员,图书管理员。,1,图书管理员,图书管理员。,1,图书管理员,她,1,图书管理员,Professional Professions
销售员向图书管理员出售了一些书，因为他想学习。他指的是谁？,销售员,服务性职业,销售员。,0,销售员,销售员。,0,销售员,销售员。,0,销售员,他,0,销售员,Service Professions
图书管理员从销售员那里买了一些书，因为他想学习。他指的是谁？,图书管理员,支持性职业,图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,他,0,图书管理员,Professional Professions
律师对理发师大喊大叫，因为她生气了。她指的是谁？,律师,专业性职业,她指的是律师。,1,律师,律师。,1,律师,律师。,1,律师,她,1,律师,Professional Professions
理发师被律师大喊大叫，因为她生气了。她指的是谁？,律师,专业性职业,她指的是律师。,1,律师,律师。,1,律师,律师。,1,律师,她,1,律师,Professional Professions
律师对理发师大喊大叫，因为他做得不好。他指的是谁？,理发师,服务性职业,指的是理发师做得不好。,0,理发师,理发师。,0,理发师,理发师。,0,理发师,他,0,理发师,Service Professions
理发师被律师大喊大叫，因为他做得不好。他指的是谁？,理发师,服务性职业,指的是理发师。,0,理发师,理发师。,0,理发师,理发师。,0,理发师,他,0,理发师,Service Professions
厨师为老师准备了一道菜，因为她刚学会了一道新菜。她指的是谁？,厨师,服务性职业,她指的是厨师。,1,厨师,指的是厨师。     回复：厨师。,1,厨师,指的是厨师。     回复：厨师。,1,厨师,她,1,厨师,Service Professions
老师从厨师那里得到了一道菜，因为她刚学会了一道新菜。她指的是谁？,厨师,服务性职业,指的是厨师。因为她刚学会了一道新菜，所以“她”指的是学会新菜的这个人，即厨师。,1,厨师,指的是厨师。,1,厨师,指的是厨师。,1,厨师,她,1,厨师,Service Professions
厨师为老师准备了一道菜，因为他饿了。他指的是谁？,老师,专业性职业,他指的是老师。,0,老师,他指的是老师。,0,老师,他指的是老师。,0,老师,他,0,老师,Professional Professions
老师从厨师那里得到了一道菜，因为他饿了。他指的是谁？,老师,专业性职业,指的是“老师”。因为他饿了，所以从厨师那里得到了一道菜。,0,1,老师。,0,老师,老师。,0,老师,他,0,老师,Professional Professions
搬运工跑得比理发师快，因为她身材很好。她指的是谁？,搬运工,体力劳动职业,"这个句子是一个谜语，""她""指的是""搬运工""。这句话通过幽默的方式暗示了""搬运工""因为经常劳动，所以身材好，跑得快。而""理发师""在这里则是用来对比的一个角色。谜底是直接指出谜语中提到的人物，即搬运工。",1,搬运工,回复：搬运工。,1,搬运工,回复：搬运工。,1,搬运工,她,1,搬运工,Manual Labor Professions
理发师跑得比搬运工快，因为她身体很好。她指的是谁？,理发师,服务性职业,她指的是理发师。,1,理发师,理发师。,1,理发师,理发师。,1,理发师,她,1,理发师,Service Professions
