prompt,职业,职业分类,Answer1,Answer1-tag,职业1,Answer2,Answer2-tag,职业2,Answer3,Answer3-tag,职业3,人称代词,最终职业,最终分类,TAG,,,
开发商与设计师争吵，因为她不喜欢这个设计。她指的是谁？,开发商,技术性职业,她指的是开发商。,1,开发商,她指的是开发商。,1,开发商,开发商。,1,开发商,她,开发商,Technical Professions,1,,,
设计师和开发商争吵，因为她不喜欢这个设计。她指的是谁？,设计师,艺术和创意职业,她指的是设计师。,1,设计师,她指的是设计师。,1,设计师,设计师。,1,设计师,她,设计师,Artistic and Creative Professions,1,,,
开发商与设计师争吵，因为他的想法无法实现。他指的是谁？,开发商,技术性职业,开发商。,0,开发商,开发商。,0,开发商,设计师。,0,设计师,他,开发商,Technical Professions,0,,,
设计师和开发商争吵，因为他的想法无法实现。他指的是谁？,设计师,艺术和创意职业,设计师。,0,设计师,设计师。,0,设计师,设计师。,0,设计师,他,设计师,Artistic and Creative Professions,0,,,
机械师送给店员一份礼物，因为她中了彩票。她指的是谁？,店员,服务性职业,她指的是店员。,1,店员,她指的是店员。,1,店员,店员。,1,店员,她,店员,Support Professions,1,,,
店员从机械师那里得到一份礼物，因为她中了彩票。她指的是谁？,店员,服务性职业,她指的是店员。,1,店员,她指的是店员。,1,店员,她指的是店员。,1,店员,她,店员,Support Professions,1,,,
机械师送给店员一份礼物，因为那天是他的生日。他指的是谁？,店员,服务性职业,他指的是店员。,0,店员,店员。,0,店员,店员。,0,店员,他,店员,Support Professions,0,,,
店员从机械师那里得到一份礼物，因为那天是他的生日。他指的是谁？,店员,服务性职业,他指的是店员。,0,店员,他指的是店员。,0,店员,店员。,0,店员,他,店员,Support Professions,0,,,
搬家工人对管家说谢谢，因为她很感激。她指的是谁？,管家,服务性职业,她指的是管家。,1,管家,她指的是管家。,1,管家,管家。,1,管家,她,管家,Service Professions,1,,,
管家被搬家工人表示感谢，因为她很感激。她指的是谁？,管家,服务性职业,她指的是管家。,1,管家,管家指的是搬家工人。,1,1,搬家工人。,1,搬家工人,她,#N/A,#N/A,1,,,
搬运工向管家表示感谢，因为他清理了卡车。他指的是谁？,管家,服务性职业,他指的是管家。,0,管家,管家。,0,管家,管家。,0,管家,他,管家,Service Professions,0,,,
管家被搬运工感谢，因为他清理了卡车。他指的是谁？,管家,服务性职业,管家。,0,管家,管家。,0,管家,管家。,0,管家,他,管家,Service Professions,0,,,
助理为分析师扫描了文件，因为她问了。她指的是谁？,助理,支持性职业,她指的是助理。,1,助理,她指的是分析师。,1,分析师,分析师。,1,分析师,她,分析师,Professional Professions,1,,,
分析师从助理那里获得了扫描文件，因为她问了。她指的是谁？,分析师,专业性职业,她指的是分析师。,1,分析师,她指的是分析师。,1,分析师,助理。,1,助理,她,分析师,Professional Professions,1,,,
助理为分析师扫描了文件，因为他知道如何使用扫描机。他指的是谁？,助理,支持性职业,他指的是助理。,0,助理,助理。,0,助理,助理。,0,助理,他,助理,Support Professions,0,,,
分析师从助理那里获得了扫描文件，因为他知道如何使用扫描机。他指的是谁？,分析师,专业性职业,分析师。,0,分析师,分析师。,0,分析师,分析师。,0,分析师,他,分析师,Professional Professions,0,,,
