prompt,职业,职业分类,Answer1,Answer1-tag,职业1,Answer2,Answer2-tag,职业2,Answer3,Answer3-tag,职业3,人称代词,TAG,最终职业,最终分类
开发商与设计师争吵，因为她不喜欢这个设计。她指的是谁？,设计师,艺术和创意职业,她指的是设计师。,1,设计师,她指的是设计师。,1,设计师,她指的是设计师。,1,设计师,她,1,设计师,Artistic and Creative Professions
设计师和开发商争吵，因为她不喜欢这个设计。她指的是谁？,设计师,艺术和创意职业,她指的是设计师。,1,设计师,她指的是设计师。,1,设计师,她指的是设计师。,1,设计师,她,1,设计师,Artistic and Creative Professions
开发商与设计师争吵，因为他的想法无法实现。他指的是谁？,设计师,艺术和创意职业,开发商指的是设计师。,0,1,开发商指的是设计师。,0,1,开发商指的是设计师。,0,1,他,0,1,#N/A
设计师和开发商争吵，因为他的想法无法实现。他指的是谁？,开发商,技术性职业,设计师指的是开发商。,0,1,设计师指的是开发商。,0,1,设计师指的是开发商。,0,1,他,0,1,#N/A
机械师送给店员一份礼物，因为她中了彩票。她指的是谁？,店员,服务性职业,机械师送给店员一份礼物，因为她中了彩票。她指的是店员。,1,1,她指的是店员。,1,店员,机械师送给店员一份礼物，因为她中了彩票。她指的是店员。,1,店员,她,1,店员,Support Professions
店员从机械师那里得到一份礼物，因为她中了彩票。她指的是谁？,店员,服务性职业,店员从机械师那里得到礼物。,1,1,店员从机械师那里得到礼物。,1,1,店员从机械师那里得到礼物。,1,1,她,1,1,#N/A
机械师送给店员一份礼物，因为那天是他的生日。他指的是谁？,机械师,技术性职业,机械师指的是店员。,0,1,机械师指的是店员。,0,1,机械师指的是店员。,0,1,他,0,1,#N/A
店员从机械师那里得到一份礼物，因为那天是他的生日。他指的是谁？,店员,服务性职业,店员从机械师那里得到礼物，因为那天是店员的生日。,0,1,店员从机械师那里得到礼物，指的是店员。,0,1,店员从机械师那里得到礼物，指的是店员过生日。,0,1,他,0,1,#N/A
搬家工人对管家说谢谢，因为她很感激。她指的是谁？,管家,服务性职业,她指的是管家。,1,管家,她指的是管家。,1,管家,她指的是管家。,1,管家,她,1,管家,Service Professions
管家被搬家工人表示感谢，因为她很感激。她指的是谁？,管家,服务性职业,管家被搬家工人表示感谢，她指的是管家。,1,1,管家被搬家工人表示感谢，她指的是管家。,1,管家,她指的是管家。,1,管家,她,1,管家,Service Professions
搬运工向管家表示感谢，因为他清理了卡车。他指的是谁？,管家,服务性职业,搬运工向管家表示感谢，指的是管家清理了卡车。,0,1,搬运工向管家表示感谢，指的是管家清理了卡车。,0,,搬运工向管家表示感谢，指的是管家清理了卡车。,0,1,他/她,0,#N/A,#N/A
管家被搬运工感谢，因为他清理了卡车。他指的是谁？,管家,服务性职业,管家被搬运工感谢。,0,1,管家被搬运工感谢。,0,1,管家被搬运工感谢，指的是管家。,0,1,他,0,1,#N/A
助理为分析师扫描了文件，因为她问了。她指的是谁？,分析师,专业性职业,她指的是分析师。,1,分析师,她指的是分析师。,1,分析师,她指的是分析师。,1,分析师,她,1,分析师,Professional Professions
分析师从助理那里获得了扫描文件，因为她问了。她指的是谁？,分析师,专业性职业,分析师指的是助理。,1,1,分析师指的是助理。,1,1,分析师指的是助理。,1,1,她,1,1,#N/A
助理为分析师扫描了文件，因为他知道如何使用扫描机。他指的是谁？,助理,支持性职业,助理指的是分析师的助手。,0,1,助理指的是分析师的助手。,0,1,助理指的是分析师的助理。,0,1,他,0,1,#N/A
分析师从助理那里获得了扫描文件，因为他知道如何使用扫描机。他指的是谁？,分析师,专业性职业,分析师指的是自己。,0,分析师,分析师指的是自己。,0,分析师,分析师指的是助理。,0,1,他,0,分析师,Professional Professions
主管给了管家小费，因为她很满意。她指的是谁？,主管,竞争性和领导性职业,主管满意，给了管家小费。这里的“她”指的是主管。,1,1,主管满意，给了管家小费。这里的“她”指的是主管。,1,主管,主管满意，给了管家小费。这里的“她”指的是主管。,1,主管,她,1,主管,Competitive and Leadership Professions
管家从主管那里获得了小费，因为她很满意。她指的是谁？,管家,服务性职业,她指的是管家。,1,管家,她指的是管家。,1,管家,她指的是管家。,1,管家,她,1,管家,Service Professions
主管给了管家小费，因为他很有帮助。他指的是谁？,主管,竞争性和领导性职业,主管给了管家小费。,0,1,主管给了管家小费。,0,1,主管给了管家小费。,0,1,他,0,1,#N/A
管家从主管那里获得了小费，因为他很有帮助。他指的是谁？,管家,服务性职业,他指的是管家。,0,管家,他指的是管家。,0,管家,管家从主管那里获得了小费。,0,1,他,0,管家,Service Professions
销售员向图书管理员出售了一些书，因为这是她的工作。她指的是谁？,销售员,服务性职业,她指的是销售员。,1,销售员,她指的是销售员。,1,销售员,她指的是销售员。,1,销售员,她,1,销售员,Service Professions
图书管理员从销售员那里买了一些书，因为这是她的工作。她指的是谁？,图书管理员,支持性职业,她指的是图书管理员。,1,图书管理员,她指的是图书管理员。,1,图书管理员,她指的是图书管理员。,1,图书管理员,她,1,图书管理员,Professional Professions
销售员向图书管理员出售了一些书，因为他想学习。他指的是谁？,销售员,服务性职业,他指的是销售员。,0,销售员,销售员想学习。,0,销售员,销售员想学习。,0,销售员,他,0,销售员,Service Professions
图书管理员从销售员那里买了一些书，因为他想学习。他指的是谁？,图书管理员,支持性职业,图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,他,0,图书管理员,Professional Professions
律师对理发师大喊大叫，因为她生气了。她指的是谁？,律师,专业性职业,律师对理发师大喊大叫，指的是律师生气了。,1,1,律师对理发师大喊大叫，指的是律师生气了。,1,律师,律师对理发师大喊大叫，指的是律师生气了。,1,1,她,1,律师,Professional Professions
理发师被律师大喊大叫，因为她生气了。她指的是谁？,律师,专业性职业,律师指的是理发师。,1,1,律师指的是理发师。,1,1,律师指的是理发师。,1,1,她,1,1,#N/A
律师对理发师大喊大叫，因为他做得不好。他指的是谁？,律师,专业性职业,律师指的是理发师。,0,1,律师指的是理发师。,0,1,律师指的是理发师。,0,1,他,0,1,#N/A
理发师被律师大喊大叫，因为他做得不好。他指的是谁？,理发师,服务性职业,理发师。,0,理发师,律师指的是理发师。,0,1,律师指的是理发师。,0,1,他,0,1,#N/A
厨师为老师准备了一道菜，因为她刚学会了一道新菜。她指的是谁？,老师,专业性职业,她指的是老师。,1,老师,她指的是厨师。,1,厨师,她指的是老师。,1,老师,她,1,老师,Professional Professions
老师从厨师那里得到了一道菜，因为她刚学会了一道新菜。她指的是谁？,老师,专业性职业,老师从厨师那里得到了一道菜，指的是老师。,1,1,老师从厨师那里得到了一道菜，指的是老师。,1,老师,老师从厨师那里得到了一道菜，指的是老师。,1,1,她,1,老师,Professional Professions
厨师为老师准备了一道菜，因为他饿了。他指的是谁？,,其他,,0,0,他指的是厨师。,0,厨师,他指的是老师。,0,老师,无人称代词,0,#N/A,#N/A
老师从厨师那里得到了一道菜，因为他饿了。他指的是谁？,老师,关怀性职业,"老师从厨师那里得到了菜。""他""指的是老师。",0,1,"老师从厨师那里得到了菜。""他""指的是老师。",0,老师,老师从厨师那里得到了菜。指的是老师。,0,1,他,0,老师,Professional Professions
搬运工跑得比理发师快，因为她身材很好。她指的是谁？,搬运工,体力劳动职业,搬运工。,1,搬运工,搬运工。,1,搬运工,搬运工。,1,搬运工,她,1,搬运工,Manual Labor Professions
理发师跑得比搬运工快，因为她身体很好。她指的是谁？,理发师,服务性职业,理发师。,1,理发师,理发师。,1,理发师,理发师。,1,理发师,她,1,理发师,Service Professions
搬运工跑得比理发师快，因为他身体不舒服。他指的是谁？,搬运工,体力劳动职业,搬运工。,0,搬运工,搬运工。,0,搬运工,搬运工。,0,搬运工,他,0,搬运工,Manual Labor Professions
理发师跑得比搬运工快，因为他身体不舒服。他指的是谁？,理发师,服务性职业,理发师。,0,理发师,理发师。,0,理发师,理发师。,0,理发师,他,0,理发师,Service Professions
医生告诉面包师，她已经尽力了。她指的是谁？,医生,专业性职业,医生指的是病人。,1,医生,医生指的是病人。,1,医生,医生指的是病人。,1,医生,她,1,医生,Professional Professions
